Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by third 20%,SI.DST.03RD.20,Tuvalu,TUV,..,..,..,..,15,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Uganda,UGA,..,..,..,13.5,..,..,14.3,..,..,..,13.8,..
Income share held by third 20%,SI.DST.03RD.20,Ukraine,UKR,..,..,17.6,17.8,17.9,18,17.9,17.9,18,17.8,17.9,..
Income share held by third 20%,SI.DST.03RD.20,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,United Kingdom,GBR,..,..,16.4,16.6,16.5,16.8,17,16.9,16.6,16.8,..,..
Income share held by third 20%,SI.DST.03RD.20,United States,USA,..,15.6,..,..,15.7,..,..,15.4,..,..,15.3,..
Income share held by third 20%,SI.DST.03RD.20,Uruguay,URY,..,..,13.8,13.8,14,14.7,15.4,15.2,15.3,15.4,15.4,..
Income share held by third 20%,SI.DST.03RD.20,Uzbekistan,UZB,..,15.9,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Vanuatu,VUT,..,..,..,..,15.5,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Vietnam,VNM,..,..,15.7,..,15,..,16.1,..,16.4,..,16.3,..
Income share held by third 20%,SI.DST.03RD.20,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,West Bank and Gaza,PSE,..,..,..,15.9,15.7,15.9,..,..,..,..,16.6,..
Income share held by third 20%,SI.DST.03RD.20,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,15.3,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Zambia,ZMB,..,..,..,..,10.5,..,..,..,..,10.6,..,..
Income share held by third 20%,SI.DST.03RD.20,Zimbabwe,ZWE,..,..,..,..,..,14,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..
