Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by second 20%,SI.DST.02ND.20,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,South Africa,ZAF,..,5.6,4.9,..,4.7,..,..,..,4.8,..,..,..
Income share held by second 20%,SI.DST.02ND.20,South Sudan,SSD,..,..,..,8.6,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Spain,ESP,..,..,12.3,12.2,12,11.8,11.9,11.7,11.8,11.7,..,..
Income share held by second 20%,SI.DST.02ND.20,Sri Lanka,LKA,12.5,..,..,11.5,..,..,10.8,..,..,..,10.7,..
Income share held by second 20%,SI.DST.02ND.20,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sudan,SDN,..,..,..,11.7,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sweden,SWE,..,..,14.1,14.3,14.2,14.3,14.3,14,14,13.9,..,..
Income share held by second 20%,SI.DST.02ND.20,Switzerland,CHE,..,..,12,12.3,12.5,12.6,12.7,12.4,12.5,12.5,..,..
Income share held by second 20%,SI.DST.02ND.20,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Tajikistan,TJK,..,..,..,12.7,..,..,..,..,..,12,..,..
Income share held by second 20%,SI.DST.02ND.20,Tanzania,TZA,..,11.3,..,..,..,11.1,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Thailand,THA,9.1,9.6,10.1,10.3,10.4,11.1,10.4,10.8,11,11.3,..,..
Income share held by second 20%,SI.DST.02ND.20,Timor-Leste,TLS,..,..,..,..,..,..,..,..,13.4,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Togo,TGO,..,..,..,..,..,8.7,..,..,..,9.5,..,..
Income share held by second 20%,SI.DST.02ND.20,Tonga,TON,..,..,..,11,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Tunisia,TUN,10.4,10.2,..,..,11.6,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Turkey,TUR,..,..,10.9,10.8,11,10.6,10.5,10.5,10.2,9.9,9.9,..
Income share held by second 20%,SI.DST.02ND.20,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Tuvalu,TUV,..,..,..,..,10.8,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Uganda,UGA,..,..,..,9.8,..,..,10.4,..,..,..,9.8,..
Income share held by second 20%,SI.DST.02ND.20,Ukraine,UKR,..,..,13.9,14.2,14.3,14.4,14.3,14.5,14.6,14.3,14.4,..
Income share held by second 20%,SI.DST.02ND.20,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,United Kingdom,GBR,..,..,12.2,12,11.9,12.2,12.3,12.2,12,12.2,..,..
Income share held by second 20%,SI.DST.02ND.20,United States,USA,..,10.6,..,..,10.5,..,..,10.3,..,..,10.2,..
Income share held by second 20%,SI.DST.02ND.20,Uruguay,URY,..,..,9,8.9,9.2,9.8,10.3,10.3,10.4,10.4,10.5,..
Income share held by second 20%,SI.DST.02ND.20,Uzbekistan,UZB,..,11.7,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Vanuatu,VUT,..,..,..,..,11.1,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Vietnam,VNM,..,..,11.6,..,10.8,..,11.6,..,12,..,11.9,..
Income share held by second 20%,SI.DST.02ND.20,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,West Bank and Gaza,PSE,..,..,..,11.9,11.7,11.9,..,..,..,..,11.9,..
Income share held by second 20%,SI.DST.02ND.20,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,11.5,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Zambia,ZMB,..,..,..,..,6.8,..,..,..,..,6,..,..
Income share held by second 20%,SI.DST.02ND.20,Zimbabwe,ZWE,..,..,..,..,..,9.5,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/18/2018,,,,,,,,,,,,,,,
